Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDrivenTest,Chrome 147.0.0.0,,,28-04-2026 15:51:14,28-04-2026 15:52:13,59.024s,PASSED
,,,,,,,
Test Cases/Data Files,Chrome 147.0.0.0,,,28-04-2026 15:51:14,28-04-2026 15:51:25,11.000s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 147.0.0.0,,,28-04-2026 15:51:15,28-04-2026 15:51:19,3.980s,PASSED
"click(findTestObject(""Field Username""))",Chrome 147.0.0.0,,,28-04-2026 15:51:19,28-04-2026 15:51:21,1.840s,PASSED
"setText(findTestObject(""Field Username""), Username)",Chrome 147.0.0.0,,,28-04-2026 15:51:21,28-04-2026 15:51:21,0.614s,PASSED
delay(1),Chrome 147.0.0.0,,,28-04-2026 15:51:21,28-04-2026 15:51:22,1.030s,PASSED
"click(findTestObject(""Field Password""))",Chrome 147.0.0.0,,,28-04-2026 15:51:22,28-04-2026 15:51:22,0.336s,PASSED
"setText(findTestObject(""Field Password""), Password)",Chrome 147.0.0.0,,,28-04-2026 15:51:22,28-04-2026 15:51:23,0.570s,PASSED
delay(2),Chrome 147.0.0.0,,,28-04-2026 15:51:23,28-04-2026 15:51:25,2.016s,PASSED
"click(findTestObject(""Button Login""))",Chrome 147.0.0.0,,,28-04-2026 15:51:25,28-04-2026 15:51:25,0.364s,PASSED
,,,,,,,
Test Cases/Data Files,Chrome 147.0.0.0,,,28-04-2026 15:51:25,28-04-2026 15:51:35,9.857s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 147.0.0.0,,,28-04-2026 15:51:26,28-04-2026 15:51:29,2.996s,PASSED
"click(findTestObject(""Field Username""))",Chrome 147.0.0.0,,,28-04-2026 15:51:29,28-04-2026 15:51:31,2.050s,PASSED
"setText(findTestObject(""Field Username""), Username)",Chrome 147.0.0.0,,,28-04-2026 15:51:31,28-04-2026 15:51:31,0.584s,PASSED
delay(1),Chrome 147.0.0.0,,,28-04-2026 15:51:31,28-04-2026 15:51:32,1.006s,PASSED
"click(findTestObject(""Field Password""))",Chrome 147.0.0.0,,,28-04-2026 15:51:32,28-04-2026 15:51:32,0.300s,PASSED
"setText(findTestObject(""Field Password""), Password)",Chrome 147.0.0.0,,,28-04-2026 15:51:32,28-04-2026 15:51:33,0.542s,PASSED
delay(2),Chrome 147.0.0.0,,,28-04-2026 15:51:33,28-04-2026 15:51:35,2.012s,PASSED
"click(findTestObject(""Button Login""))",Chrome 147.0.0.0,,,28-04-2026 15:51:35,28-04-2026 15:51:35,0.321s,PASSED
,,,,,,,
Test Cases/Data Files,Chrome 147.0.0.0,,,28-04-2026 15:51:35,28-04-2026 15:51:45,9.451s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 147.0.0.0,,,28-04-2026 15:51:35,28-04-2026 15:51:38,3.034s,PASSED
"click(findTestObject(""Field Username""))",Chrome 147.0.0.0,,,28-04-2026 15:51:38,28-04-2026 15:51:40,1.649s,PASSED
"setText(findTestObject(""Field Username""), Username)",Chrome 147.0.0.0,,,28-04-2026 15:51:40,28-04-2026 15:51:41,0.569s,PASSED
delay(1),Chrome 147.0.0.0,,,28-04-2026 15:51:41,28-04-2026 15:51:42,1.011s,PASSED
"click(findTestObject(""Field Password""))",Chrome 147.0.0.0,,,28-04-2026 15:51:42,28-04-2026 15:51:42,0.305s,PASSED
"setText(findTestObject(""Field Password""), Password)",Chrome 147.0.0.0,,,28-04-2026 15:51:42,28-04-2026 15:51:42,0.547s,PASSED
delay(2),Chrome 147.0.0.0,,,28-04-2026 15:51:42,28-04-2026 15:51:44,2.008s,PASSED
"click(findTestObject(""Button Login""))",Chrome 147.0.0.0,,,28-04-2026 15:51:44,28-04-2026 15:51:45,0.305s,PASSED
,,,,,,,
Test Cases/Data Files,Chrome 147.0.0.0,,,28-04-2026 15:51:45,28-04-2026 15:51:54,9.268s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 147.0.0.0,,,28-04-2026 15:51:45,28-04-2026 15:51:48,2.737s,PASSED
"click(findTestObject(""Field Username""))",Chrome 147.0.0.0,,,28-04-2026 15:51:48,28-04-2026 15:51:49,1.765s,PASSED
"setText(findTestObject(""Field Username""), Username)",Chrome 147.0.0.0,,,28-04-2026 15:51:49,28-04-2026 15:51:50,0.567s,PASSED
delay(1),Chrome 147.0.0.0,,,28-04-2026 15:51:50,28-04-2026 15:51:51,1.013s,PASSED
"click(findTestObject(""Field Password""))",Chrome 147.0.0.0,,,28-04-2026 15:51:51,28-04-2026 15:51:51,0.301s,PASSED
"setText(findTestObject(""Field Password""), Password)",Chrome 147.0.0.0,,,28-04-2026 15:51:51,28-04-2026 15:51:52,0.540s,PASSED
delay(2),Chrome 147.0.0.0,,,28-04-2026 15:51:52,28-04-2026 15:51:54,2.010s,PASSED
"click(findTestObject(""Button Login""))",Chrome 147.0.0.0,,,28-04-2026 15:51:54,28-04-2026 15:51:54,0.315s,PASSED
,,,,,,,
Test Cases/Data Files,Chrome 147.0.0.0,,,28-04-2026 15:51:54,28-04-2026 15:52:04,9.701s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 147.0.0.0,,,28-04-2026 15:51:54,28-04-2026 15:51:57,2.993s,PASSED
"click(findTestObject(""Field Username""))",Chrome 147.0.0.0,,,28-04-2026 15:51:57,28-04-2026 15:51:59,1.959s,PASSED
"setText(findTestObject(""Field Username""), Username)",Chrome 147.0.0.0,,,28-04-2026 15:51:59,28-04-2026 15:52:00,0.552s,PASSED
delay(1),Chrome 147.0.0.0,,,28-04-2026 15:52:00,28-04-2026 15:52:01,1.010s,PASSED
"click(findTestObject(""Field Password""))",Chrome 147.0.0.0,,,28-04-2026 15:52:01,28-04-2026 15:52:01,0.315s,PASSED
"setText(findTestObject(""Field Password""), Password)",Chrome 147.0.0.0,,,28-04-2026 15:52:01,28-04-2026 15:52:01,0.536s,PASSED
delay(2),Chrome 147.0.0.0,,,28-04-2026 15:52:01,28-04-2026 15:52:03,2.007s,PASSED
"click(findTestObject(""Button Login""))",Chrome 147.0.0.0,,,28-04-2026 15:52:03,28-04-2026 15:52:04,0.312s,PASSED
,,,,,,,
Test Cases/Data Files,Chrome 147.0.0.0,,,28-04-2026 15:52:04,28-04-2026 15:52:13,9.323s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 147.0.0.0,,,28-04-2026 15:52:04,28-04-2026 15:52:07,2.945s,PASSED
"click(findTestObject(""Field Username""))",Chrome 147.0.0.0,,,28-04-2026 15:52:07,28-04-2026 15:52:08,1.714s,PASSED
"setText(findTestObject(""Field Username""), Username)",Chrome 147.0.0.0,,,28-04-2026 15:52:08,28-04-2026 15:52:09,0.538s,PASSED
delay(1),Chrome 147.0.0.0,,,28-04-2026 15:52:09,28-04-2026 15:52:10,1.017s,PASSED
"click(findTestObject(""Field Password""))",Chrome 147.0.0.0,,,28-04-2026 15:52:10,28-04-2026 15:52:10,0.286s,PASSED
"setText(findTestObject(""Field Password""), Password)",Chrome 147.0.0.0,,,28-04-2026 15:52:10,28-04-2026 15:52:11,0.517s,PASSED
delay(2),Chrome 147.0.0.0,,,28-04-2026 15:52:11,28-04-2026 15:52:13,2.010s,PASSED
"click(findTestObject(""Button Login""))",Chrome 147.0.0.0,,,28-04-2026 15:52:13,28-04-2026 15:52:13,0.284s,PASSED
