Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser(""https://www.saucedemo.com/"")",Chrome 147.0.0.0,,,28-04-2026 15:53:22,28-04-2026 15:53:25,2.945s,PASSED
"click(findTestObject(""Field Username""))",Chrome 147.0.0.0,,,28-04-2026 15:53:25,28-04-2026 15:53:27,1.949s,PASSED
"setText(findTestObject(""Field Username""), Username)",Chrome 147.0.0.0,,,28-04-2026 15:53:27,28-04-2026 15:53:27,0.560s,PASSED
delay(1),Chrome 147.0.0.0,,,28-04-2026 15:53:27,28-04-2026 15:53:28,1.006s,PASSED
"click(findTestObject(""Field Password""))",Chrome 147.0.0.0,,,28-04-2026 15:53:28,28-04-2026 15:53:29,0.294s,PASSED
"setText(findTestObject(""Field Password""), Password)",Chrome 147.0.0.0,,,28-04-2026 15:53:29,28-04-2026 15:53:29,0.534s,PASSED
delay(2),Chrome 147.0.0.0,,,28-04-2026 15:53:29,28-04-2026 15:53:31,2.011s,PASSED
"click(findTestObject(""Button Login""))",Chrome 147.0.0.0,,,28-04-2026 15:53:31,28-04-2026 15:53:31,0.300s,PASSED
,,,,,,,
Test Cases/Data Files,Chrome 147.0.0.0,,,28-04-2026 15:53:31,28-04-2026 15:53:41,9.419s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 147.0.0.0,,,28-04-2026 15:53:32,28-04-2026 15:53:34,2.917s,PASSED
"click(findTestObject(""Field Username""))",Chrome 147.0.0.0,,,28-04-2026 15:53:34,28-04-2026 15:53:36,1.747s,PASSED
"setText(findTestObject(""Field Username""), Username)",Chrome 147.0.0.0,,,28-04-2026 15:53:36,28-04-2026 15:53:37,0.563s,PASSED
delay(1),Chrome 147.0.0.0,,,28-04-2026 15:53:37,28-04-2026 15:53:38,1.010s,PASSED
"click(findTestObject(""Field Password""))",Chrome 147.0.0.0,,,28-04-2026 15:53:38,28-04-2026 15:53:38,0.320s,PASSED
"setText(findTestObject(""Field Password""), Password)",Chrome 147.0.0.0,,,28-04-2026 15:53:38,28-04-2026 15:53:39,0.549s,PASSED
delay(2),Chrome 147.0.0.0,,,28-04-2026 15:53:39,28-04-2026 15:53:41,2.005s,PASSED
"click(findTestObject(""Button Login""))",Chrome 147.0.0.0,,,28-04-2026 15:53:41,28-04-2026 15:53:41,0.296s,PASSED
