Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDrivenTest,Chrome 147.0.0.0,,,28-04-2026 15:54:06,28-04-2026 15:55:20,1m - 14.055s,PASSED
,,,,,,,
Test Cases/Data Files,Chrome 147.0.0.0,,,28-04-2026 15:54:06,28-04-2026 15:54:17,10.957s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 147.0.0.0,,,28-04-2026 15:54:06,28-04-2026 15:54:10,3.744s,PASSED
"click(findTestObject(""Field Username""))",Chrome 147.0.0.0,,,28-04-2026 15:54:10,28-04-2026 15:54:12,2.060s,PASSED
"setText(findTestObject(""Field Username""), Username)",Chrome 147.0.0.0,,,28-04-2026 15:54:12,28-04-2026 15:54:13,0.590s,PASSED
delay(1),Chrome 147.0.0.0,,,28-04-2026 15:54:13,28-04-2026 15:54:14,1.044s,PASSED
"click(findTestObject(""Field Password""))",Chrome 147.0.0.0,,,28-04-2026 15:54:14,28-04-2026 15:54:14,0.326s,PASSED
"setText(findTestObject(""Field Password""), Password)",Chrome 147.0.0.0,,,28-04-2026 15:54:14,28-04-2026 15:54:15,0.558s,PASSED
delay(2),Chrome 147.0.0.0,,,28-04-2026 15:54:15,28-04-2026 15:54:17,2.016s,PASSED
"click(findTestObject(""Button Login""))",Chrome 147.0.0.0,,,28-04-2026 15:54:17,28-04-2026 15:54:17,0.346s,PASSED
,,,,,,,
Test Cases/Data Files,Chrome 147.0.0.0,,,28-04-2026 15:54:17,28-04-2026 15:54:27,9.649s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 147.0.0.0,,,28-04-2026 15:54:17,28-04-2026 15:54:20,2.975s,PASSED
"click(findTestObject(""Field Username""))",Chrome 147.0.0.0,,,28-04-2026 15:54:20,28-04-2026 15:54:22,1.890s,PASSED
"setText(findTestObject(""Field Username""), Username)",Chrome 147.0.0.0,,,28-04-2026 15:54:22,28-04-2026 15:54:22,0.564s,PASSED
delay(1),Chrome 147.0.0.0,,,28-04-2026 15:54:22,28-04-2026 15:54:23,1.018s,PASSED
"click(findTestObject(""Field Password""))",Chrome 147.0.0.0,,,28-04-2026 15:54:23,28-04-2026 15:54:24,0.306s,PASSED
"setText(findTestObject(""Field Password""), Password)",Chrome 147.0.0.0,,,28-04-2026 15:54:24,28-04-2026 15:54:24,0.538s,PASSED
delay(2),Chrome 147.0.0.0,,,28-04-2026 15:54:24,28-04-2026 15:54:26,2.015s,PASSED
